# Logfile created on Tue Jul 27 01:07:35 +0000 2010 by logger.rb/22285
I, [2010-07-27T01:07:35.407837 #5955]  INFO -- : GET: https://my.rightscale.com/api/acct/2901/deployments.js?filter[]=nickname=PHPVEETEN-ec2-west-438799-RightImage_Ubuntu_8.04_i386_v5.3_Beta&
I, [2010-07-27T01:09:46.272540 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:09:46.334930 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:09:51.367991 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:09:51.398695 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:09:56.517970 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:09:56.552386 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:10:01.688063 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:10:01.722650 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:10:06.847979 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:10:06.881854 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:10:12.417970 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:10:12.448163 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:10:17.927987 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:10:17.962695 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:10:23.077977 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:10:23.109444 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:10:28.207978 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:10:28.241917 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:10:33.467994 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:10:33.499088 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:10:39.667966 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:10:39.705328 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:10:44.797963 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:10:44.828389 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:10:50.508033 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:10:50.542413 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:10:55.657968 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:10:55.687932 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:11:00.857983 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:11:00.947178 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:11:06.067985 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:11:06.098926 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:11:11.258074 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:11:11.294103 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:11:16.397965 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:11:16.430416 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:11:21.547978 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:11:21.582189 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:11:26.737984 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:11:26.768412 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:11:31.877981 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:11:31.919201 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:11:37.657985 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:11:37.687812 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:11:42.937976 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:11:42.971464 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:11:48.068051 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:11:48.151543 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
I, [2010-07-27T01:11:53.267982 #5955]  INFO -- : waiting for server tempserver-PHP App Server v10 (Beta) to go stopped, state is decommissioning
I, [2010-07-27T01:11:53.301614 #5955]  INFO -- : GET: /api/acct/2901/servers/795889.js?
