# Logfile created on Tue Jul 27 18:36:07 +0000 2010 by logger.rb/22285
I, [2010-07-27T18:36:07.857217 #9014]  INFO -- : GET: https://my.rightscale.com/api/acct/2901/deployments.js?filter[]=nickname=MY51-ec2-east-418214-RightImage_Ubuntu_9.10_i386_v4.5&
I, [2010-07-27T18:36:30.174579 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:36:32.224152 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:36:32.263501 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:36:36.544129 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:36:36.574710 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:36:37.434164 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:36:37.468252 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:36:41.734122 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:36:41.765914 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:36:42.874132 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:36:42.908396 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:36:47.234156 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:36:47.264432 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:36:48.204144 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:36:48.237778 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:36:52.364121 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:36:52.414162 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
